rank,en,pos,zh,definition,tracks,priority,issue_codes,defect_count,risk_count,heuristic_count,content_token_count,outside_vocab_ratio,advanced_token_ratio,harder_than_headword_ratio,outside_tokens,advanced_tokens
1274,willing,adj.,乐意的、自愿的、甘愿的,disposed or inclined toward,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.000,0.667,0.667,,disposed|inclined
1278,obviously,adv.,显而易见地、明显地,unmistakably (`plain' is often used informally for `plainly'),life+cet4+cet6,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,6,0.500,0.667,0.667,informally|plainly|unmistakably,informally|plain|plainly|unmistakably
1279,horse,n.,马、骑兵、脚架,solid-hoofed herbivorous quadruped domesticated since prehistoric times,life,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,8,0.625,0.625,0.750,domesticated|herbivorous|hoofed|prehistoric|quadruped,domesticated|herbivorous|hoofed|prehistoric|quadruped
1283,ride,n.,骑马、乘坐、乘车,a mechanical device that you ride for amusement or excitement,life,P3,definition_too_advanced,0,0,1,5,0.000,0.600,0.800,,amusement|excitement|mechanical
1287,demand,n.,要求、需求、需要,an urgent or peremptory request,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,0.667,1.000,peremptory,peremptory|urgent
1292,wild,n.,荒野、荒地,a wild primitive state untouched by civilization,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.200,0.600,0.600,untouched,civilization|primitive|untouched
1323,title,n.,头衔、名称、标题,a heading that names a statute or legislative bill,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.200,0.600,0.600,legislative,bill|legislative|statute
1353,worth,n.,价值、财产,an indefinite quantity of something having a specified value,life,P3,definition_too_advanced,0,0,1,5,0.000,0.600,0.600,,indefinite|quantity|specified
1359,insist,v.,坚持、坚决主张、强调,be emphatic or resolute and refuse to budge,life+cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,4,0.500,0.750,0.750,budge|emphatic,budge|emphatic|resolute
1370,regular,adj.,规则的、常例的、有秩序的,a regular patron,life+cet4+cet6+postgrad,P2,pos_definition_conflict,0,1,0,2,0.000,0.500,0.500,,patron
1376,egg,n.,蛋、卵,animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes,life,P3,definition_too_advanced,0,0,1,10,0.400,0.600,0.700,embryo|nutritive|ovum|reproductive,embryo|envelopes|nutritive|ovum|protective|reproductive
1396,female,n.,女性、女人、雌性动物,an animal that produces gametes (ova) that can be fertilized by male gametes (spermatozoa),life+cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,8,0.625,0.625,0.750,fertilized|gametes|ova|spermatozoa,fertilized|gametes|ova|spermatozoa
1443,bone,n.,骨头、骨、骨制品,rigid connective tissue that makes up the skeleton of vertebrates,life+cet4+postgrad,P3,definition_too_advanced,0,0,1,6,0.333,0.667,0.833,connective|vertebrates,connective|rigid|skeleton|vertebrates
1449,wine,n.,葡萄酒、果酒、暗红色,fermented juice (of grapes especially),life+cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,4,0.500,0.750,0.750,fermented|juice,fermented|grapes|juice
1465,academic,adj.,学院的、学术的、不切实际的,associated with academia or an academy,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.667,academia,academia|academy
1471,following,n.,下列各项、部下、追随者,a group of followers or enthusiasts,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.667,enthusiasts,enthusiasts|followers
1475,depend,v.,靠、视...而定、信赖,be contingent upon (something that is elided),life+cet4+cet6+postgrad,P3,high_outside_vocab_ratio,0,0,1,4,0.500,0.500,0.500,contingent|elided,contingent|elided
1489,flower,n.,花、开花植物、精华,a plant cultivated for its blooms or blossoms,life,P3,definition_too_advanced,0,0,1,4,0.000,0.750,0.750,,blooms|blossoms|cultivated
1501,tie,n.,带子、线、鞋带,equality of score in a contest,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.000,0.667,0.667,,contest|equality
1504,primary,n.,最主要者、原色,a preliminary election where delegates or nominees are chosen,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.200,0.600,0.600,nominees,delegates|nominees|preliminary
1530,male,n.,男人、雄性动物,an animal that produces gametes (spermatozoa) that can fertilize female gametes (ova),life+cet4+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,8,0.625,0.625,0.625,fertilize|gametes|ova|spermatozoa,fertilize|gametes|ova|spermatozoa
1557,nod,n.,点头、打盹、晃动,a sign of assent or salutation or command,life+cet4+cet6+postgrad,P3,high_outside_vocab_ratio,0,0,1,4,0.500,0.500,0.750,assent|salutation,assent|salutation
1561,dry,adj.,干的、无酒的、枯燥无味的,free from liquid or moisture,life,P3,definition_too_advanced,0,0,1,3,0.000,0.667,0.667,,liquid|moisture
1562,Russian,n.,俄国人、俄语,a native or inhabitant of Russia,life,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.667,russia,inhabitant|russia
1566,climb,v.,攀登、上升、爬,go upward with gradual or continuous progress,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.000,0.600,0.600,,continuous|gradual|upward
1588,somewhere,adv.,到某处、在某处,an indefinite or unknown location,life,P2,pos_definition_conflict,0,1,0,3,0.000,0.333,0.667,,indefinite
1591,sugar,n.,糖、糖块、甜言蜜语,a white crystalline carbohydrate used as a sweetener and preservative,life,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,6,0.500,0.667,0.667,crystalline|preservative|sweetener,carbohydrate|crystalline|preservative|sweetener
1619,bear,n.,熊,massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws,life,P3,definition_too_advanced,0,0,1,10,0.400,0.600,0.800,carnivorous|omnivorous|plantigrade|shaggy,carnivorous|claws|mammals|omnivorous|plantigrade|shaggy
1642,okay,adj.,好、可以、行,in a satisfactory or adequate manner,life+cet4+postgrad,P3,definition_too_advanced,0,0,1,3,0.000,0.667,1.000,,adequate|satisfactory
1644,empty,adj.,空的、空虚的、空腹的,a container that has been emptied,life,P2,pos_definition_conflict,0,1,0,2,0.000,0.500,0.500,,container
1651,Iraqi,n.,伊拉克人、伊拉克阿拉伯语,a native or inhabitant of Iraq,life,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.667,iraq,inhabitant|iraq
1665,yellow,adj.,黄色的,having the colour of lemons or ripe bananas,life,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,4,0.500,1.000,1.000,bananas|colour,bananas|colour|lemons|ripe
1704,profit,n.,利润、赢利、利益,the advantageous quality of being beneficial,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.000,0.667,0.667,,advantageous|beneficial
1718,Japanese,n.,日本人、日语,a native or inhabitant of Japan,life,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.667,japan,inhabitant|japan
1729,ethnic,adj.,人种的、种族的,a person who is a member of an ethnic group,life+cet6+postgrad,P2,pos_definition_conflict,0,1,0,4,0.000,0.000,0.000,,
1735,nose,n.,鼻子、突出部分、嗅觉,the organ of smell and entrance to the respiratory tract,life,P3,definition_too_advanced,0,0,1,5,0.400,0.800,1.000,respiratory|smell,organ|respiratory|smell|tract
1736,declare,v.,宣布、声明、申报,state emphatically and authoritatively,life+cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,3,0.667,0.667,0.667,authoritatively|emphatically,authoritatively|emphatically
1769,brown,n.,褐色,an orange of low brightness and saturation,life,P3,definition_too_advanced,0,0,1,4,0.250,0.750,0.750,orange,brightness|orange|saturation
1797,blame,n.,过失、责备,a reproach for some lapse or misdeed,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,1.000,1.000,misdeed,lapse|misdeed|reproach
1798,estimate,n.,估计、判断,an approximate calculation of quantity or degree or worth,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.000,0.600,0.600,,approximate|calculation|quantity
1803,crazy,adj.,发狂的、狂热的,foolish; totally unsound,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,0.667,1.000,unsound,foolish|unsound
1824,gender,n.,性,a grammatical category in inflected languages governing the agreement between nouns and pronouns and adjectives,life+postgrad,P3,definition_too_advanced,0,0,1,9,0.111,0.667,0.667,inflected,adjectives|governing|grammatical|inflected|nouns|pronouns
1834,forth,adv.,往前、以后、向外,a river in southern Scotland that flows eastward to the Firth of Forth,life+cet4+cet6+postgrad,P2,pos_definition_conflict,0,1,0,7,0.286,0.429,0.571,firth|scotland,eastward|firth|scotland
1854,tooth,n.,牙齿、齿状物、爱好,hard bonelike structures in the jaws of vertebrates,life,P3,definition_too_advanced,0,0,1,5,0.400,0.600,0.600,bonelike|vertebrates,bonelike|jaws|vertebrates
1856,smart,adj.,聪明的、漂亮的、刺痛的,showing mental alertness and calculation and resourcefulness,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.400,0.600,0.600,alertness|resourcefulness,alertness|calculation|resourcefulness
1859,complain,v.,抱怨、抗议、控诉,"express complaints, discontent, displeasure, or unhappiness",life+cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,5,0.600,0.600,0.800,discontent|displeasure|unhappiness,discontent|displeasure|unhappiness
1888,fun,n.,乐趣、玩笑、娱乐,activities that are enjoyable or amusing,life,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.667,enjoyable,amusing|enjoyable
1892,separate,adj.,分开的、把…分开,a garment that can be purchased separately and worn in combinations with other garments,life+cet4+cet6+postgrad,P2,pos_definition_conflict,0,1,0,6,0.000,0.500,0.667,,garment|garments|separately
1902,beer,n.,啤酒,a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops,life,P3,definition_too_advanced,0,0,1,11,0.182,0.636,0.727,alcoholic|fermenting,alcoholic|beverages|cereal|cereals|fermenting|flavored|hops
1905,tear,n.,泪滴、眼泪、撕,a drop of the clear salty saline solution secreted by the lacrimal glands,life+cet4+cet6+postgrad,P3,high_outside_vocab_ratio,0,0,1,8,0.500,0.500,0.500,glands|lacrimal|saline|salty,glands|lacrimal|saline|salty
1912,hero,n.,英雄、超越常人者、男主角,a man distinguished by exceptional courage and nobility and strength,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,6,0.167,0.667,0.667,nobility,courage|distinguished|exceptional|nobility
1915,stretch,n.,伸展、张开、连绵,a large and unbroken expanse or distance,life+cet4+cet6+postgrad,P3,high_outside_vocab_ratio,0,0,1,4,0.500,0.500,0.500,expanse|unbroken,expanse|unbroken
1916,winner,n.,胜利者、优胜者,the contestant who wins the contest,life+cet4+cet6,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.667,contestant,contest|contestant
1926,intervention,n.,插入、介入、调停,"the act of intervening (as to mediate a dispute, etc.)",life+cet6,P3,definition_too_advanced,0,0,1,5,0.200,0.600,0.800,etc,etc|intervening|mediate
1929,India,n.,印度,a republic in the Asian subcontinent in southern Asia,cet4+cet6,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,5,0.600,0.800,0.800,asia|asian|subcontinent,asia|asian|republic|subcontinent
1955,upper,adj.,上面的、较高的、上级的,the topmost one of two,life+cet4+cet6+postgrad,P2,pos_definition_conflict,0,1,0,3,0.333,0.333,0.333,topmost,topmost
1986,waste,n.,浪费、废物、损耗,any materials unused and rejected as worthless or unwanted,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.400,0.600,0.800,unused|unwanted,unused|unwanted|worthless
2003,cable,n.,电缆、海底电报、缆,a telegram sent abroad,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.667,abroad,abroad|telegram
2017,legislation,n.,立法、法律,law enacted by a legislative body,cet4+cet6+postgrad,P3,high_outside_vocab_ratio,0,0,1,4,0.500,0.500,0.500,enacted|legislative,enacted|legislative
2040,height,n.,高度、海拔、高地,the vertical dimension of extension,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.000,0.667,1.000,,extension|vertical
2058,proper,adj.,适当的、固有的、高尚的,marked by suitability or rightness or appropriateness,cet4+cet6+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,4,0.750,0.750,0.750,appropriateness|rightness|suitability,appropriateness|rightness|suitability
2061,guilty,adj.,犯罪的、有过失的、自觉有错的,responsible for or chargeable with a reprehensible act,cet4+cet6+postgrad,P3,high_outside_vocab_ratio,0,0,1,4,0.500,0.500,0.500,chargeable|reprehensible,chargeable|reprehensible
2073,alternative,n.,两者择一、供替代的选择,necessitating a choice between mutually exclusive possibilities,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.200,0.600,0.600,mutually,exclusive|mutually|necessitating
2098,prayer,n.,祈祷、恳求、祷辞,the act of communicating with a deity (especially as a petition or in adoration or contrition or thanksgiving),cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,8,0.375,0.625,0.750,adoration|contrition|deity,adoration|contrition|deity|petition|thanksgiving
2138,initiative,n.,主动行动、首创精神、主动权,readiness to embark on bold new ventures,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.200,0.800,0.800,readiness,bold|embark|readiness|ventures
2185,transform,v.,使转换、改变、改造,subject to a mathematical transformation,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.000,0.667,0.667,,mathematical|transformation
2194,bend,v.,变弯曲、屈服,a circular segment of a curve,cet4+cet6+postgrad,P2,definition_too_advanced|pos_definition_conflict,0,1,1,3,0.000,0.667,1.000,,circular|curve
2199,cop,n.,警官,uncomplimentary terms for a policeman,postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,3,0.667,0.667,0.667,policeman|uncomplimentary,policeman|uncomplimentary
2220,cycle,n.,周期、循环、自行车,an interval during which a recurring sequence of events occurs,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.000,0.600,0.600,,interval|recurring|sequence
2246,joke,n.,笑话、玩笑、笑柄,a humorous anecdote or remark intended to provoke laughter,cet4+postgrad,P3,definition_too_advanced,0,0,1,6,0.000,0.833,0.833,,anecdote|humorous|laughter|provoke|remark
2268,ordinary,adj.,平常的、普通的、平凡的,a judge of a probate court,cet4+cet6+postgrad,P2,pos_definition_conflict,0,1,0,3,0.333,0.333,0.333,probate,probate
2280,iron,n.,铁、熨斗、铁器,a heavy ductile magnetic metallic element,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,5,0.200,0.600,0.600,ductile,ductile|magnetic|metallic
2386,constant,adj.,持续的、不变的,steadfast in purpose or devotion or affection,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,4,0.250,0.750,0.750,steadfast,affection|devotion|steadfast
2399,pray,v.,祈祷、恳求、请,"address a deity, a prophet, a saint or an object of worship",cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,6,0.167,0.667,0.667,deity,deity|prophet|saint|worship
2401,exception,n.,例外、除外、异议,a deliberate act of omission,cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,3,0.333,0.667,0.667,omission,deliberate|omission
2402,butter,n.,奶油、黄油,an edible emulsion of fat globules made by churning milk or cream,cet4+postgrad,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,8,0.500,0.625,0.625,churning|emulsion|globules|milk,churning|edible|emulsion|globules|milk
2404,bathroom,n.,浴室、厕所,a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet,cet4+postgrad,P3,definition_too_advanced,0,0,1,8,0.250,0.625,0.625,bathtub|washbasin,bathtub|residence|shower|toilet|washbasin
