rank,en,pos,zh,definition,tracks,priority,issue_codes,defect_count,risk_count,heuristic_count,content_token_count,outside_vocab_ratio,advanced_token_ratio,harder_than_headword_ratio,outside_tokens,advanced_tokens
20,this,pron.,这、这个,"used to point to a person, thing, or idea that is near or being discussed",life,AUTO_CLEAR,,0,0,0,7,0.000,0.000,1.000,,
21,they,pron.,他们、她们、它们,used for two or more people or things already mentioned,life,AUTO_CLEAR,,0,0,0,6,0.000,0.000,1.000,,
22,at,prep.,在、向、对,"used to show a place, point, time, event, or target",life,AUTO_CLEAR,,0,0,0,7,0.000,0.000,1.000,,
23,but,conj.,但是、不过,used to connect two ideas that are different or unexpected,life,AUTO_CLEAR,,0,0,0,6,0.000,0.167,1.000,,unexpected
24,we,pron.,我们,used by the speaker for a group that includes himself or herself,life,AUTO_CLEAR,,0,0,0,4,0.000,0.000,1.000,,
25,his,pron.,他的,Belonging or pertaining to him,life,AUTO_CLEAR,,0,0,0,2,0.500,0.500,1.000,pertaining,pertaining
26,from,prep.,从、来自、根据,"used to show where something starts, comes from, or is separated",life,AUTO_CLEAR,,0,0,0,6,0.000,0.000,1.000,,
28,not,adv.,不、非、未,negation of a word or group of words,life,AUTO_CLEAR,,0,0,0,4,0.250,0.250,1.000,negation,negation
30,by,prep.,被、经、由,"used to show who did something, how it happened, or what is beside something",life,AUTO_CLEAR,,0,0,0,6,0.000,0.000,1.000,,
31,she,pron.,她,used for a female person or girl already mentioned,life,AUTO_CLEAR,,0,0,0,6,0.000,0.000,1.000,,
32,or,conj.,或、或者,"used to show an alternative, choice, or other possibility",life,AUTO_CLEAR,,0,0,0,5,0.000,0.000,1.000,,
33,as,prep.,作为、像、当……时,"used to describe a role, comparison, or something happening at the same time",life,AUTO_CLEAR,,0,0,0,7,0.000,0.000,1.000,,
34,what,pron.,什么,"used to ask for information about a thing, action, or idea",life,AUTO_CLEAR,,0,0,0,6,0.000,0.000,1.000,,
35,go,v.,去、走、达到,follow a procedure or take a course,life,AUTO_CLEAR,,0,0,0,4,0.000,0.000,1.000,,
36,their,pron.,他们的、她们的、它们的,used to show that something belongs to or is connected with them,life,AUTO_CLEAR,,0,0,0,5,0.000,0.000,1.000,,
37,can,aux.,能、可以,used to say that someone is able or allowed to do something,life,AUTO_CLEAR,,0,0,0,6,0.000,0.000,0.833,,
38,who,pron.,谁,used to ask which person or to add information about a person,life,AUTO_CLEAR,,0,0,0,6,0.000,0.000,1.000,,
39,get,v.,得到、获得、变成,come into the possession of something concrete or abstract,life,P3,definition_too_advanced,0,0,1,5,0.000,0.600,1.000,,abstract|concrete|possession
40,if,conj.,如果、是否,used to introduce a possible condition or an indirect question,life,AUTO_CLEAR,,0,0,0,6,0.000,0.167,1.000,,indirect
41,would,aux.,将、会、愿意,"used for imagined situations, polite requests, or the future seen from the past",life,AUTO_CLEAR,,0,0,0,8,0.125,0.125,1.000,polite,polite
42,her,pron.,她的、她,used for a female person as an object or to show belonging,life,AUTO_CLEAR,,0,0,0,6,0.000,0.000,1.000,,
43,all,adj.,所有的、全部的、一切的,quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class,life,AUTO_CLEAR,,0,0,0,12,0.083,0.167,1.000,quantifier,nouns|quantifier
44,my,pron.,我的,Of or belonging to me,life,AUTO_CLEAR,,0,0,0,1,0.000,0.000,1.000,,
45,make,v.,制造、安排、创造,engage in,life,AUTO_CLEAR,,0,0,0,1,0.000,0.000,1.000,,
46,about,prep.,关于、大约、在……周围,connected with a subject; also meaning approximately,life,AUTO_CLEAR,,0,0,0,4,0.000,0.000,1.000,,
47,know,v.,知道、了解、认识,be cognizant or aware of a fact or a specific piece of information,life,AUTO_CLEAR,,0,0,0,6,0.167,0.167,1.000,cognizant,cognizant
48,will,aux.,将、会、愿意,used to talk about the future or a decision to do something,life,AUTO_CLEAR,,0,0,0,5,0.000,0.000,1.000,,
50,up,adv.,向上、起来,toward a higher place or position,life,AUTO_CLEAR,,0,0,0,4,0.000,0.000,1.000,,
51,one,n.,一(个),the smallest whole number or a numeral representing this number,life,AUTO_CLEAR,,0,0,0,6,0.167,0.167,1.000,numeral,numeral
52,time,n.,时间、时侯、时机,an instance or single occasion for some event,life,AUTO_CLEAR,,0,0,0,4,0.000,0.000,1.000,,
53,there,adv.,在那里,a location other than here,life,P2,pos_definition_conflict,0,1,0,1,0.000,0.000,1.000,,
54,year,n.,年、年度、年龄,a period of time containing 365 (or 366) days,life,AUTO_CLEAR,,0,0,0,4,0.000,0.000,0.750,,
55,so,adv.,如此、如是、如...那样,to a very great extent or degree,life,AUTO_CLEAR,,0,0,0,3,0.000,0.000,1.000,,
56,think,v.,想、考虑、想起,judge or regard,life,AUTO_CLEAR,,0,0,0,2,0.000,0.000,1.000,,
57,when,conj.,当...的时候,At what time,life,AUTO_CLEAR,,0,0,0,1,0.000,0.000,0.000,,
58,which,pron.,哪一个、哪个,used to ask or say what person or thing is meant from a limited group,life,AUTO_CLEAR,,0,0,0,8,0.000,0.000,0.875,,
59,them,pron.,他们、她们、它们,used for people or things already mentioned as the object,life,AUTO_CLEAR,,0,0,0,6,0.000,0.000,1.000,,
60,some,pron.,一些、一部分、若干,quantifier; used with either mass nouns or plural count nouns to indicate an unspecified number or quantity,life,AUTO_CLEAR,,0,0,0,11,0.182,0.545,1.000,quantifier|unspecified,nouns|plural|quantifier|quantity|unspecified
61,me,pron.,我,used by the speaker as the object of a verb or preposition,life,AUTO_CLEAR,,0,0,0,5,0.000,0.400,1.000,,preposition|verb
62,people,n.,人、人民、民族,(plural) any group of human beings (men or women or children) collectively,life,AUTO_CLEAR,,0,0,0,8,0.125,0.250,0.875,collectively,collectively|plural
63,take,v.,拿、取、抓,carry out,life,AUTO_CLEAR,,0,0,0,1,0.000,0.000,1.000,,
64,out,adv.,出去、在外,away from the inside of a place,life,AUTO_CLEAR,,0,0,0,3,0.000,0.000,1.000,,
65,into,prep.,进入...之内、朝、深入...之中,To the inside of,life,AUTO_CLEAR,,0,0,0,1,0.000,0.000,1.000,,
66,just,adv.,只是、刚刚、正好,"only, very recently, or exactly",life,AUTO_CLEAR,,0,0,0,2,0.000,0.000,1.000,,
67,see,v.,看见、查看、参观,perceive by sight or have the power to perceive by sight,life,AUTO_CLEAR,,0,0,0,5,0.000,0.000,1.000,,
68,him,pron.,他,used for a male person as the object of a verb or preposition,life,AUTO_CLEAR,,0,0,0,6,0.000,0.333,1.000,,preposition|verb
69,your,pron.,你的、你们的,used to show that something belongs to or is connected with the person spoken to,life,AUTO_CLEAR,,0,0,0,7,0.000,0.000,1.000,,
70,come,v.,过来、来、到达,"move toward, travel toward something or somebody or approach something or somebody",life,AUTO_CLEAR,,0,0,0,9,0.000,0.000,1.000,,
71,could,aux.,可以、能够、可能,"used to describe past ability, possibility, or a polite request",life,AUTO_CLEAR,,0,0,0,7,0.143,0.143,1.000,polite,polite
72,now,adv.,现在、刚才、目前,the momentary present,life,P2,pos_definition_conflict,0,1,0,2,0.000,0.500,1.000,,momentary
73,than,conj.,比、较之,"used when comparing two people, things, or amounts",life,AUTO_CLEAR,,0,0,0,6,0.000,0.000,0.833,,
74,like,v.,喜欢、像,find enjoyable or agreeable,life,P3,definition_too_advanced,0,0,1,3,0.333,0.667,1.000,enjoyable,agreeable|enjoyable
75,other,adj.,其他的、另外的、从前的,not the same one or ones already mentioned or implied,life,AUTO_CLEAR,,0,0,0,5,0.000,0.000,0.600,,
76,how,adv.,如何、怎样、多少,In what manner or way,life,AUTO_CLEAR,,0,0,0,2,0.000,0.000,1.000,,
77,then,adv.,然后、当时,that time; that moment,life,AUTO_CLEAR,,0,0,0,2,0.000,0.000,0.500,,
78,its,pron.,它的,used to show that something belongs to or is connected with a thing or animal,life,AUTO_CLEAR,,0,0,0,7,0.000,0.000,1.000,,
79,our,pron.,我们的,used to show that something belongs to or is connected with us,life,AUTO_CLEAR,,0,0,0,6,0.000,0.000,1.000,,
80,two,num.,二、二个,the cardinal number that is the sum of one and one or a numeral representing this number,life,AUTO_CLEAR,,0,0,0,8,0.125,0.375,0.750,numeral,cardinal|numeral|sum
81,more,adv.,更多、更,"to a greater amount, number, or degree",life,AUTO_CLEAR,,0,0,0,4,0.000,0.000,1.000,,
82,these,pron.,这些,used to point to people or things that are near or being discussed,life,AUTO_CLEAR,,0,0,0,6,0.000,0.000,0.833,,
83,want,v.,想要、需要,have need of,life,AUTO_CLEAR,,0,0,0,1,0.000,0.000,1.000,,
84,way,n.,路、路线、路途,the condition of things generally,life,AUTO_CLEAR,,0,0,0,3,0.000,0.000,1.000,,
85,look,v.,看、看起来,perceive with attention,life,AUTO_CLEAR,,0,0,0,2,0.000,0.000,1.000,,
86,first,adv.,首先、最先,before anything or anyone else,life,AUTO_CLEAR,,0,0,0,3,0.000,0.000,1.000,,
87,also,adv.,也、并且、同样地,in addition,life,AUTO_CLEAR,,0,0,0,1,0.000,0.000,1.000,,
88,new,adj.,新的、陌生的、最近的,not of long duration,life,AUTO_CLEAR,,0,0,0,2,0.000,0.500,1.000,,duration
89,because,conj.,因为,By or for the cause that,life,AUTO_CLEAR,,0,0,0,1,0.000,0.000,1.000,,
90,day,n.,天、日子、白天,time for Earth to make a complete rotation on its axis,life,AUTO_CLEAR,,0,0,0,6,0.000,0.333,0.667,,axis|rotation
92,use,v.,使用、利用,put into service,life,AUTO_CLEAR,,0,0,0,2,0.000,0.000,1.000,,
93,no,adv.,不、没有,a negative,life,P2,pos_definition_conflict,0,1,0,1,0.000,0.000,1.000,,
94,man,n.,男人、人类、人,an adult person who is male (as opposed to a woman),life,AUTO_CLEAR,,0,0,0,5,0.000,0.000,1.000,,
95,find,v.,发现、感到、找到,"come upon, as if by accident",life,AUTO_CLEAR,,0,0,0,3,0.000,0.000,0.667,,
96,here,adv.,在这里、此时、这里,the present location,life,P2,pos_definition_conflict,0,1,0,2,0.000,0.000,1.000,,
97,thing,n.,事物、东西、物,a special situation,life,AUTO_CLEAR,,0,0,0,2,0.000,0.000,1.000,,
98,give,v.,给、给予,"cause to have, in the abstract sense or physical sense",life,AUTO_CLEAR,,0,0,0,5,0.000,0.200,1.000,,abstract
99,many,adj.,许多的、许多,a quantifier that can be used with count nouns and is often preceded by `as' or `too' or `so' or `that',life,AUTO_CLEAR,,0,0,0,6,0.167,0.500,0.833,quantifier,nouns|preceded|quantifier
100,well,adv.,很好地、充分地,"in a good, successful, or satisfactory way",life,AUTO_CLEAR,,0,0,0,4,0.000,0.250,0.750,,satisfactory
101,only,adv.,只、仅仅,"used to say that there is no more than one thing, person, amount, or choice",life,AUTO_CLEAR,,0,0,0,7,0.000,0.000,0.429,,
102,those,pron.,那些,used to point to people or things farther away or already mentioned,life,AUTO_CLEAR,,0,0,0,8,0.000,0.125,0.625,,farther
103,tell,v.,告诉、说、吩咐,let something be known,life,AUTO_CLEAR,,0,0,0,3,0.000,0.000,0.667,,
105,very,adv.,非常、很,precisely as stated,life,AUTO_CLEAR,,0,0,0,2,0.500,0.500,1.000,precisely,precisely
107,even,adv.,甚至、即使,used to emphasize something surprising or more extreme,life,AUTO_CLEAR,,0,0,0,5,0.000,0.000,0.800,,
108,back,adv.,回来、向后,"toward an earlier place, position, or time",life,AUTO_CLEAR,,0,0,0,5,0.000,0.000,0.800,,
109,any,adj.,任何的,one or some or every or all without specification,life,AUTO_CLEAR,,0,0,0,4,0.000,0.250,0.750,,specification
110,good,adj.,好的、良好的,having desirable or positive qualities especially those suitable for a thing specified,life,AUTO_CLEAR,,0,0,0,7,0.000,0.429,0.857,,desirable|specified|suitable
111,woman,n.,女人、女性,an adult female person (as opposed to a man),life,AUTO_CLEAR,,0,0,0,5,0.000,0.000,0.800,,
112,through,prep.,穿过、通过,(of a route or journey etc.) continuing without requiring stops or changes,life,AUTO_CLEAR,,0,0,0,8,0.125,0.125,1.000,etc,etc
113,us,pron.,我们,used by the speaker for a group including himself or herself as the object,life,AUTO_CLEAR,,0,0,0,5,0.000,0.000,0.800,,
114,life,n.,生活、生命、人生,a characteristic state or mode of living,life,AUTO_CLEAR,,0,0,0,4,0.000,0.000,1.000,,
115,child,n.,孩子、产物、追随者,a young person of either sex,life,AUTO_CLEAR,,0,0,0,3,0.000,0.000,1.000,,
117,work,n.,工作、劳动、职业,activity directed toward making or doing something,life,AUTO_CLEAR,,0,0,0,5,0.000,0.000,0.800,,
118,down,adv.,向下、下来,toward a lower place or position,life,AUTO_CLEAR,,0,0,0,4,0.000,0.000,1.000,,
119,may,aux.,可以、可能,used to say that something is possible or that someone has permission,life,AUTO_CLEAR,,0,0,0,6,0.000,0.167,0.667,,permission
120,after,prep.,在……之后,later than a particular time or event,life,AUTO_CLEAR,,0,0,0,4,0.000,0.000,0.750,,
121,should,aux.,应该、应当,"used to say what is right, expected, or likely",life,AUTO_CLEAR,,0,0,0,5,0.000,0.000,0.600,,
122,call,v.,打电话、称呼、叫,"to speak to someone by phone, give a name, or ask someone to come",life,AUTO_CLEAR,,0,0,0,8,0.000,0.000,0.750,,
123,world,n.,世界、地球、宇宙,people in general,life,AUTO_CLEAR,,0,0,0,2,0.000,0.000,0.500,,
124,over,prep.,在……上方、越过、遍及,"above, across, or covering something",life,AUTO_CLEAR,,0,0,0,3,0.000,0.000,1.000,,
125,school,n.,学校、上学,an educational institution,life,AUTO_CLEAR,,0,0,0,2,0.000,0.000,1.000,,
126,still,adv.,仍然、还是,continuing to happen or be true at the present time,life,AUTO_CLEAR,,0,0,0,5,0.000,0.000,0.800,,
127,try,v.,尝试、试用、努力,make an effort or attempt,life,AUTO_CLEAR,,0,0,0,3,0.000,0.000,0.667,,
130,last,adj.,最后的、持续,the last or lowest in an ordering or series,life,P2,pos_definition_conflict,0,1,0,4,0.000,0.000,0.750,,
131,ask,v.,问、要求,inquire about,life,AUTO_CLEAR,,0,0,0,1,0.000,1.000,1.000,,inquire
132,need,n.,需要、必须、缺乏,a condition requiring relief,life,AUTO_CLEAR,,0,0,0,3,0.000,0.000,1.000,,
133,too,adv.,也、非常、太,to a degree exceeding normal or proper limits,life,AUTO_CLEAR,,0,0,0,5,0.000,0.200,1.000,,exceeding
134,feel,v.,感觉、觉得、触摸,undergo an emotional sensation or be in a particular state of mind,life,AUTO_CLEAR,,0,0,0,6,0.000,0.333,1.000,,sensation|undergo
135,three,num.,三、三个,the cardinal number that is the sum of one and one and one,life,AUTO_CLEAR,,0,0,0,6,0.000,0.333,0.500,,cardinal|sum
137,state,n.,状态、州、国家,"a condition, one of the main political areas of a country, or a country",life+cet4+cet6+postgrad,AUTO_CLEAR,,0,0,0,7,0.000,0.000,0.857,,
138,never,adv.,从不、决不、不曾,not ever; at no time in the past or future,life,AUTO_CLEAR,,0,0,0,4,0.000,0.000,0.750,,
139,become,v.,变成、变得,enter or assume a certain state or condition,life,AUTO_CLEAR,,0,0,0,5,0.000,0.000,0.800,,
140,between,prep.,在...之间,in the interval,life,AUTO_CLEAR,,0,0,0,1,0.000,1.000,1.000,,interval
141,high,adj.,高的、高度较大的,far above the ground or greater than the usual level,life,AUTO_CLEAR,,0,0,0,5,0.000,0.000,1.000,,
142,something,pron.,某事、某物,"Anything unknown, undetermined, or not specifically",life,AUTO_CLEAR,,0,0,0,4,0.250,0.250,1.000,undetermined,undetermined
143,really,adv.,实际上、真实地、实在,in accordance with truth or fact or reality,life,AUTO_CLEAR,,0,0,0,4,0.000,0.250,1.000,,accordance
144,most,pron.,大多数、最,(superlative of `many' used with count nouns and often preceded by `the') quantifier meaning the greatest in number,life,AUTO_CLEAR,,0,0,0,11,0.182,0.364,0.818,quantifier|superlative,nouns|preceded|quantifier|superlative
145,another,adj.,另外的、再一的、不同的,any of various alternatives,life,AUTO_CLEAR,,0,0,0,2,0.000,0.000,1.000,,
146,much,n.,大量、许多、重要的事,a great amount or extent,life,AUTO_CLEAR,,0,0,0,3,0.000,0.000,1.000,,
147,family,n.,家庭、家人、族,a social unit living together,life,AUTO_CLEAR,,0,0,0,4,0.000,0.000,1.000,,
148,own,adj.,自己的、拥有,belonging to or on behalf of a specified person (especially yourself),life,AUTO_CLEAR,,0,0,0,5,0.000,0.400,1.000,,behalf|specified
150,leave,v.,离开、留下,go away from a place,life,AUTO_CLEAR,,0,0,0,3,0.000,0.000,0.667,,
151,put,v.,放、安置、使处于,to move something into a particular place or position,life,AUTO_CLEAR,,0,0,0,5,0.000,0.000,0.800,,
152,old,adj.,老的、旧的,(used especially of persons) having lived for a relatively long time or attained a specific age,life,AUTO_CLEAR,,0,0,0,10,0.000,0.100,0.800,,attained
153,while,conj.,当……时、虽然,during the time that something happens; sometimes used to contrast two facts,life,AUTO_CLEAR,,0,0,0,8,0.000,0.000,0.500,,
154,mean,v.,意思是、意味着、打算,"to express, show, or intend a particular idea",life,AUTO_CLEAR,,0,0,0,5,0.000,0.000,1.000,,
156,keep,v.,保持、保留、继续,"to continue to have, hold, or do something",life,AUTO_CLEAR,,0,0,0,3,0.000,0.000,0.667,,
157,student,n.,学生、研究者、学者,a learner who is enrolled in an educational institution,life,AUTO_CLEAR,,0,0,0,4,0.250,0.500,1.000,learner,enrolled|learner
158,why,adv.,为什么,for what reason or purpose,life,AUTO_CLEAR,,0,0,0,2,0.000,0.000,1.000,,
159,let,v.,让、假设、出租,make it possible through a specific action or lack of action for something to happen,life,AUTO_CLEAR,,0,0,0,8,0.000,0.000,0.750,,
160,great,adj.,很棒的、伟大的,relatively large in size or number or extent,life,AUTO_CLEAR,,0,0,0,5,0.000,0.000,1.000,,
161,same,adj.,相同的、同样的,not different; exactly like another person or thing,life,AUTO_CLEAR,,0,0,0,6,0.000,0.000,0.500,,
162,big,adj.,大的、重要的,"large in size, amount, or importance",life,AUTO_CLEAR,,0,0,0,4,0.000,0.000,1.000,,
163,group,n.,团体、组、团,any number of entities (members) considered as a unit,life,AUTO_CLEAR,,0,0,0,5,0.000,0.200,1.000,,entities
164,begin,v.,开始,"have a beginning, in a temporal, spatial, or evaluative sense",life,P3,definition_too_advanced,0,0,1,5,0.400,0.600,0.800,evaluative|temporal,evaluative|spatial|temporal
165,seem,v.,象是、似乎,appear to exist,life,AUTO_CLEAR,,0,0,0,2,0.000,0.000,1.000,,
166,country,n.,国家、乡村、地区,the territory occupied by a nation,life,AUTO_CLEAR,,0,0,0,3,0.000,0.000,1.000,,
167,help,v.,帮助、协助,to make it easier for someone to do something,life,AUTO_CLEAR,,0,0,0,4,0.000,0.000,0.500,,
168,talk,n.,谈话、交谈、会谈,an exchange of ideas via conversation,life,AUTO_CLEAR,,0,0,0,4,0.000,0.000,1.000,,
169,where,adv.,在哪里,At or in what place,life,AUTO_CLEAR,,0,0,0,1,0.000,0.000,1.000,,
170,turn,v.,转动、转向、轮到,to move around a point or change direction,life,AUTO_CLEAR,,0,0,0,5,0.000,0.000,1.000,,
171,problem,n.,问题、难题,a state of difficulty that needs to be resolved,life,AUTO_CLEAR,,0,0,0,4,0.000,0.000,0.500,,
172,every,adj.,每一、所有的,(used of count nouns) each and all of the members of a group considered singly and without exception,life,AUTO_CLEAR,,0,0,0,9,0.111,0.222,0.778,singly,nouns|singly
173,start,v.,开始、出发,to begin doing something or begin to happen,life,AUTO_CLEAR,,0,0,0,4,0.000,0.000,0.250,,
174,hand,n.,手、爪、指针,the (prehensile) extremity of the superior limb,life,P3,definition_too_advanced|high_outside_vocab_ratio,0,0,2,4,0.500,1.000,1.000,extremity|prehensile,extremity|limb|prehensile|superior
175,might,aux.,可能、也许,used to say that something is possible but not certain,life+cet4+postgrad,AUTO_CLEAR,,0,0,0,5,0.000,0.000,0.400,,
176,American,n.,美国人,a native or inhabitant of the United States,life,AUTO_CLEAR,,0,0,0,4,0.000,0.250,0.750,,inhabitant
177,show,n.,显示、表现、展览,the act of publicly exhibiting or entertaining,life,P3,definition_too_advanced,0,0,1,4,0.250,0.750,1.000,publicly,entertaining|exhibiting|publicly
178,part,n.,部分、局部、零件,something determined in relation to something that includes it,life+cet4+postgrad,AUTO_CLEAR,,0,0,0,5,0.000,0.000,0.600,,
180,against,prep.,反对、靠着、与……竞争,"in opposition to, touching, or competing with someone or something",life+cet4+postgrad,AUTO_CLEAR,,0,0,0,5,0.000,0.000,0.800,,
181,place,n.,地方、地点、位置,any area set aside for a particular purpose,life,AUTO_CLEAR,,0,0,0,5,0.000,0.000,1.000,,
183,such,adj.,如此的、这样的,of so extreme a degree or extent,life,AUTO_CLEAR,,0,0,0,3,0.000,0.000,1.000,,
184,again,adv.,再一次、又,one more time or in the same way as before,life,AUTO_CLEAR,,0,0,0,3,0.000,0.000,0.000,,
185,few,adj.,很少的、不多的、少数的,not many; only a small number of people or things,life,AUTO_CLEAR,,0,0,0,5,0.000,0.000,0.400,,
186,case,n.,情形、情况、箱,an occurrence of something,life,AUTO_CLEAR,,0,0,0,2,0.000,0.500,0.500,,occurrence
188,week,n.,星期、周,any period of seven consecutive days,life,AUTO_CLEAR,,0,0,0,4,0.000,0.250,0.750,,consecutive
189,company,n.,公司、友伴、交往,an institution created to conduct business,life,AUTO_CLEAR,,0,0,0,4,0.000,0.000,1.000,,
191,Mr,word,先生,a form of address for a man,life,AUTO_CLEAR,,0,0,0,3,0.000,0.000,0.667,,
191,system,n.,系统、体系、制度,instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity,life+cet4+cet6+postgrad,P3,definition_too_advanced,0,0,1,9,0.333,0.667,0.889,artifacts|instrumentality|interrelated,artifacts|coherent|entity|instrumentality|interacting|interrelated
192,each,adj.,每个、每一,(used of count nouns) every one considered individually,life,AUTO_CLEAR,,0,0,0,7,0.143,0.286,0.571,individually,individually|nouns
193,right,adj.,正确的、合适的,"correct, true, or suitable for a situation",life,AUTO_CLEAR,,0,0,0,4,0.000,0.250,1.000,,suitable
194,program,n.,节目、节目单、程序,a system of projects or services intended to meet a public need,life+cet4+cet6,AUTO_CLEAR,,0,0,0,7,0.000,0.000,0.714,,
195,hear,v.,听到、倾听、听说,perceive (sound) via the auditory sense,life,AUTO_CLEAR,,0,0,0,5,0.200,0.200,1.000,auditory,auditory
197,question,n.,问题、询问,an instance of questioning,life,AUTO_CLEAR,,0,0,0,2,0.000,0.000,0.500,,
198,during,prep.,在...的时候,In the time of,life,AUTO_CLEAR,,0,0,0,1,0.000,0.000,0.000,,
200,play,v.,玩、播放、演奏,"to take part in a game, make music, or use something for enjoyment",life,AUTO_CLEAR,,0,0,0,8,0.125,0.125,0.375,enjoyment,enjoyment
201,government,n.,政府、内阁,the organization that is the governing authority of a political unit,life+cet4+cet6+postgrad,AUTO_CLEAR,,0,0,0,5,0.000,0.200,1.000,,governing
202,run,v.,跑、运行、经营,"to move quickly on foot, operate, or manage something",life,AUTO_CLEAR,,0,0,0,6,0.000,0.000,0.833,,
203,small,adj.,小的、少的、小型的,limited or below average in number or quantity or magnitude or extent,life,AUTO_CLEAR,,0,0,0,6,0.000,0.333,1.000,,magnitude|quantity
204,number,n.,数、数字、数目,the property possessed by a sum or total or indefinite quantity of units or individuals,life,AUTO_CLEAR,,0,0,0,8,0.000,0.375,1.000,,indefinite|quantity|sum
205,off,adj.,关着的、不再生效的、处于...境况的,not in operation or operational,life,AUTO_CLEAR,,0,0,0,2,0.000,0.500,1.000,,operational
206,always,adv.,总是、始终,at all times,life,AUTO_CLEAR,,0,0,0,1,0.000,0.000,0.000,,
207,move,n.,移动、迁居、步骤,the act of deciding to do something,life,AUTO_CLEAR,,0,0,0,3,0.000,0.000,0.667,,
209,night,n.,夜、夜晚、晚上,the time after sunset and before sunrise while it is dark outside,life,AUTO_CLEAR,,0,0,0,5,0.000,0.400,0.800,,sunrise|sunset
210,live,v.,生活、居住、活着,lead a certain kind of life,life,AUTO_CLEAR,,0,0,0,4,0.000,0.000,0.750,,
211,point,n.,点、小数点、标点,a geometric element that has position but no extension,life+cet4+cet6+postgrad,AUTO_CLEAR,,0,0,0,4,0.250,0.500,1.000,geometric,extension|geometric
212,believe,v.,相信,accept as true,life,AUTO_CLEAR,,0,0,0,2,0.000,0.000,1.000,,
213,hold,v.,拿着、保持、举行,have or hold in one's hands or grip,life,AUTO_CLEAR,,0,0,0,4,0.000,0.250,0.250,,grip
214,today,n.,今天、当今、现在,the present time or age,life,AUTO_CLEAR,,0,0,0,3,0.000,0.000,0.667,,
215,bring,v.,带来、产生、促使,take something or somebody with oneself somewhere,life,AUTO_CLEAR,,0,0,0,5,0.000,0.200,0.600,,oneself
216,happen,v.,发生、恰巧,come to pass,life+cet4+postgrad,AUTO_CLEAR,,0,0,0,2,0.000,0.000,0.500,,
217,next,adj.,下一个、接下来,at the time or occasion immediately following,life,AUTO_CLEAR,,0,0,0,4,0.000,0.000,0.750,,
218,without,prep.,没有、不、在...之外,On or at the outside of,life,AUTO_CLEAR,,0,0,0,1,0.000,0.000,1.000,,
219,before,prep.,在...之前,earlier in time,life,AUTO_CLEAR,,0,0,0,2,0.000,0.000,0.500,,
220,large,adj.,大的、大量的、宽大的,above average in size or number or quantity or magnitude or extent,life,AUTO_CLEAR,,0,0,0,6,0.000,0.333,0.833,,magnitude|quantity
222,million,n.,百万、无数,the number that is represented as a one followed by 6 zeros,life,AUTO_CLEAR,,0,0,0,5,0.200,0.200,0.600,zeros,zeros
