status,word,tracks,source_pos,source_gloss,corpus_pos,dominant_count,dominance,source_pos_count,source_pos_share,candidate_gloss,final_pos,final_gloss
corrected,retard,cet6,n.,阻止、延迟,v.,80,0.988,0,0.000,妨碍、延迟、使减速,v.,延缓、妨碍、使减速
corrected,invalid,cet6+postgrad,n.,病人、残废者,adj.,184,0.984,0,0.000,有病的、无效的,adj.,无效的、不合法的
corrected,shrink,cet4+cet6+postgrad,n.,收缩、萎缩、回避,v.,731,0.983,0,0.000,收缩、退缩、萎缩,v.,收缩、缩小、退缩
corrected,secular,postgrad,n.,修道院外的教士,adj.,641,0.982,1,0.002,世俗的、现世的、长期的,adj.,世俗的、非宗教的
corrected,westward,cet4+cet6,n.,朝西的方向,adv.,110,0.982,0,0.000,向西的,adv.,向西、朝西
corrected,superficial,cet4+cet6+postgrad,n.,表面、外表,adj.,387,0.980,0,0.000,表面的、肤浅的、面积的,adj.,表面的、肤浅的
corrected,edible,cet6+postgrad,n.,食品、食物,adj.,984,0.975,0,0.000,可食用的,adj.,可食用的
corrected,hopeful,cet4+cet6+postgrad,n.,有希望之人、有前途之人,adj.,1808,0.971,51,0.027,有希望的、怀抱希望的、保持乐观的,adj.,有希望的、乐观的
corrected,prerequisite,cet6,adj.,先决条件的、必要的,n.,67,0.971,2,0.029,先决条件、必备条件,n.,先决条件、必备条件
corrected,headlong,cet6,adj.,头向前的、仓猝而用力的、轻率的,adv.,114,0.966,0,0.000,头向前地、猛然地、用力地,adv.,头朝前地、猛然地
corrected,streamline,cet6+postgrad,n.,流线、流线型,v.,126,0.955,2,0.015,使成流线型、使合理化,v.,使精简、使效率更高
corrected,scoff,cet6,n.,嘲笑、愚弄、笑柄,v.,125,0.954,0,0.000,嘲笑、嘲弄、贪吃,v.,嘲笑、嘲弄
corrected,lateral,postgrad,n.,侧部、支线、边音,adj.,270,0.947,11,0.039,侧面的、旁边的,adj.,侧面的、横向的
corrected,seaside,cet6+postgrad,adj.,海边的、海滨的,n.,2809,0.939,30,0.010,海滨,n.,海滨、海边
corrected,eastward,cet6,n.,朝东方向,adv.,45,0.938,0,0.000,向东,adv.,向东、朝东
corrected,mortal,cet4+cet6+postgrad,n.,生物、人类,adj.,476,0.935,12,0.024,不免一死的、人类的、临终的,adj.,终有一死的、致命的
corrected,quiet,life,n.,安静、闲适、平静,adj.,13495,0.932,246,0.017,安静的、静止的、寂静的,adj.,安静的、平静的
corrected,try,life,n.,尝试、试验、审理,v.,81599,0.910,8056,0.090,试、尝试、试验,v.,尝试、试用、努力
corrected,random,cet6+postgrad,n.,随意、随机,adj.,2239,0.909,0,0.000,任意的、随便的、胡乱的,adj.,随机的、任意的
corrected,automatic,cet4+cet6+postgrad,n.,自动手枪、自动机械,adj.,1653,0.905,0,0.000,自动的、机械的、必然的,adj.,自动的、无意识的
corrected,hurt,life+cet4+cet6+postgrad,n.,伤害、创伤、损害,v.,11764,0.882,1166,0.087,伤害、(使)伤心、危害,v.,伤害、使疼痛
corrected,minor,cet4+cet6+postgrad,n.,未成年人、副修科目,adj.,2549,0.856,0,0.000,较小的、二流的、未成年的,adj.,较小的、次要的
corrected,sudden,cet4+cet6+postgrad,n.,突然、忽然,adj.,5972,0.850,0,0.000,突然的、意外的、快速的,adj.,突然的、意外的
corrected,pour,life+cet4+cet6+postgrad,n.,流出、倾泻、骤雨,v.,2939,0.824,3,0.001,倒、灌、注,v.,倒、倾泻、涌出
corrected,revolutionary,cet4+cet6+postgrad,n.,革命者、革命党人,adj.,1373,0.815,164,0.097,革命的、革命性的,adj.,革命性的、突破性的
corrected,shatter,cet6+postgrad,n.,碎片、粉碎、落叶,v.,188,0.814,22,0.095,打碎、使散开、粉碎,v.,打碎、粉碎、使破灭
corrected,opaque,cet6+postgrad,n.,不透明物,adj.,155,0.807,28,0.146,不透明的、不传热的、不传导的,adj.,不透明的、难理解的
corrected,resolute,cet6+postgrad,n.,果断的人,adj.,143,0.722,30,0.152,坚决的、刚毅的、毅然的,adj.,坚定的、坚决的
corrected,invert,cet6+postgrad,adj.,转化的,v.,19,0.594,3,0.094,使反转、使颠倒、使转化,v.,使倒置、使颠倒、反转
resolved_multi,Iraqi,life,n.,伊拉克人、伊拉克阿拉伯语,adj.,687,1.000,0,0.000,伊拉克的、伊拉克人的,adj.,伊拉克的、伊拉克人的
resolved_multi,musical,cet4+cet6+postgrad,n.,音乐片、音乐舞台剧,adj.,8231,1.000,0,0.000,音乐的、声音美妙的、喜爱音乐的,adj.,音乐的、声音美妙的、喜爱音乐的
resolved_multi,Greek,cet4+cet6,n.,希腊人、希腊语,adj.,6848,0.999,1,0.000,希腊的、希腊人的,adj.,希腊的、希腊人的
resolved_multi,extract,cet6+postgrad,n.,榨出物、精汁、摘录,v.,1146,0.997,0,0.000,(费力地)取出、采掘、榨取,v.,(费力地)取出、采掘、榨取
resolved_multi,handle,life+cet4+cet6+postgrad,n.,柄、把手、把柄,v.,7887,0.997,1,0.000,触摸、运用、买卖,v.,触摸、运用、买卖
resolved_multi,immigrant,cet4+cet6+postgrad,n.,移民,adj.,575,0.997,0,0.000,移入的、移民的,adj.,移入的、移民的
resolved_multi,tap,cet4+cet6+postgrad,n.,轻打、水龙头,v.,4286,0.996,0,0.000,轻打、轻敲、敲打出,v.,轻打、轻敲、敲打出
resolved_multi,civilian,cet4+cet6+postgrad,n.,平民、民法专家,adj.,1623,0.995,0,0.000,平民的、百姓的、民用的,adj.,平民的、民用的
resolved_multi,ruin,cet4+cet6+postgrad,n.,毁灭、推翻、废墟,v.,2829,0.995,6,0.002,毁灭、衰败、破坏,v.,毁灭、衰败、破坏
resolved_multi,stall,cet6+postgrad,n.,厩、停车处、牧师职位,v.,3048,0.995,0,0.000,关入厩、停顿、推托,v.,关入厩、停顿、推托
resolved_multi,pose,cet4+cet6+postgrad,n.,姿势、姿态、装模作样,v.,1722,0.989,17,0.010,摆姿势、装模作样、假装,v.,摆姿势、装模作样、假装
resolved_multi,reign,cet4+cet6+postgrad,v.,为王、为君、当政,n.,1830,0.988,0,0.000,为王、为君、当政,n.,为王、为君、当政
resolved_multi,complement,cet6+postgrad,n.,补足物、补语、补数,v.,516,0.987,6,0.011,补充、补足,v.,补充、补足
resolved_multi,current,life+cet4+cet6+postgrad,n.,涌流、趋势、流,adj.,12931,0.984,193,0.015,流通的、现在的、当前的,adj.,当前的、现行的、水流
resolved_multi,relative,cet4+cet6+postgrad,n.,亲戚、关系词,adj.,2315,0.982,29,0.012,有关系的、相对的、比较的,adj.,相对的、相关的
resolved_multi,Italian,cet4+cet6,n.,意大利人、意大利语,adj.,7904,0.980,2,0.000,意大利的、意大利语的,adj.,意大利的、意大利语的
resolved_multi,raise,life,n.,上升、高地、增高,v.,14066,0.977,315,0.022,升起、举起、唤起,v.,提高、举起、筹集
resolved_multi,else,life,adj.,别的、其他的,adv.,62072,0.976,1530,0.024,另外、否则、不然,adv.,另外、否则、不然
resolved_multi,primary,life+cet4+cet6+postgrad,n.,最主要者、原色,adj.,4946,0.976,124,0.024,主要的、初期的、根本的,adj.,主要的、初期的、根本的
resolved_multi,sick,life,n.,病人,adj.,11267,0.976,155,0.013,不舒服、有病的、恶心的,adj.,生病的、不舒服的
resolved_multi,specific,life+cet4+cet6+postgrad,n.,特效药、特性,adj.,5849,0.975,150,0.025,特殊的、明确的、具有特效的,adj.,具体的、特定的
resolved_multi,tear,life+cet4+cet6+postgrad,n.,泪滴、眼泪、撕,v.,3318,0.975,16,0.005,流泪、撕破、赶快,v.,流泪、撕破、赶快
resolved_multi,moan,cet4+cet6+postgrad,n.,呻吟、悲叹,v.,561,0.974,9,0.016,呻吟、抱怨、悲叹,v.,呻吟、抱怨、悲叹
resolved_multi,saw,cet4+cet6+postgrad,n.,锯子、谚语,v.,49394,0.971,1375,0.027,锯、锯开、来回移动,v.,锯、锯开、来回移动
resolved_multi,alone,life+cet4+postgrad,adj.,孤独的、单独的、独自的,adv.,21001,0.970,568,0.026,独自地,adv.,独自地
resolved_multi,Egyptian,cet6,n.,埃及人,adj.,2219,0.969,0,0.000,埃及的、埃及人的,adj.,埃及的、埃及人的
resolved_multi,fetch,cet4+cet6+postgrad,n.,取得、拿、诡计,v.,2902,0.966,84,0.028,接来、取来、售得,v.,接来、取来、售得
resolved_multi,forward,life,adj.,向前的、早的、迅速的,adv.,41807,0.966,523,0.012,向前地,adv.,向前地
resolved_multi,horizontal,cet4+cet6+postgrad,n.,水平线、水平面、水平位置,adj.,515,0.966,8,0.015,水平线的、平坦的、横的,adj.,水平线的、平坦的、横的
resolved_multi,multiple,life+cet4+cet6+postgrad,n.,倍数、并联,adj.,2559,0.966,53,0.020,多样的、许多的、多功能的,adj.,多个的、多重的
resolved_multi,cheat,cet4+cet6+postgrad,n.,欺骗、作弊、骗子,v.,1446,0.965,42,0.028,欺骗、逃脱、骗取,v.,欺骗、逃脱、骗取
resolved_multi,synthetic,cet4+cet6+postgrad,n.,合成物质,adj.,412,0.965,12,0.028,综合(性)的、人造的、合成的,adj.,综合(性)的、人造的、合成的
resolved_multi,recruit,cet4+cet6+postgrad,n.,新兵、新手、新会员,v.,1165,0.963,0,0.000,恢复、补充、充实,v.,恢复、补充、充实
resolved_multi,leave,life,n.,许可、告别、请假,v.,59936,0.962,2351,0.038,离开、剩下、遗忘,v.,离开、留下
resolved_multi,lash,postgrad,n.,鞭子、鞭打、睫毛,v.,290,0.957,5,0.017,鞭打、摆动、扎捆,v.,鞭打、摆动、扎捆
resolved_multi,skip,cet6+postgrad,n.,跳跃、跳读,v.,2439,0.957,45,0.018,跳越、跳读、跳绳,v.,跳越、跳读、跳绳
resolved_multi,steep,cet4+cet6+postgrad,n.,浸渍、悬崖,adj.,1957,0.957,28,0.014,险峻的、陡峭的、急剧升降的,adj.,险峻的、陡峭的、急剧升降的
resolved_multi,far,life,adj.,远的、久远的、遥远的,adv.,78200,0.952,3019,0.037,甚远地、很、到很深的程度,adv.,甚远地、很、到很深的程度
resolved_multi,curl,cet4+cet6+postgrad,n.,拳曲、鬈发,v.,503,0.949,11,0.021,弄卷,v.,弄卷
resolved_multi,mean,life,adj.,低劣的、卑贱的、简陋的,v.,96757,0.947,3077,0.030,意谓、想要、意欲,v.,意思是、意味着
resolved_multi,intellectual,cet4+cet6+postgrad,n.,有知识者、知识分子、凭理智做事者,adj.,1131,0.943,43,0.036,智力的、用脑力的、聪明的,adj.,智力的、用脑力的、聪明的
resolved_multi,wait,life,n.,等待、等候,v.,44426,0.943,2681,0.057,等候、期待、延缓,v.,等候、期待、延缓
resolved_multi,German,life+cet4+cet6,n.,德国人、德语,adj.,10997,0.942,3,0.000,德国的、德国人的、德国语的,adj.,德国的、德国人的、德国语的
resolved_multi,stable,cet4+cet6+postgrad,n.,马房、牛棚,adj.,3818,0.940,239,0.059,稳定的、安定的、坚固的,adj.,稳定的、安定的、坚固的
resolved_multi,grab,life+cet6+postgrad,n.,抓握、掠夺、强占,v.,6763,0.939,353,0.049,抓取、抢去,v.,抓取、抢去
resolved_multi,spur,cet4+cet6+postgrad,n.,马刺、刺激物、鼓舞,v.,417,0.939,9,0.020,刺激、激励、用马刺策(马)前进,v.,刺激、激励、用马刺策(马)前进
resolved_multi,tread,cet6,n.,踏、步态、梯级,v.,749,0.937,46,0.058,踏、行走、交尾,v.,踏、行走、交尾
resolved_multi,transplant,cet4+cet6+postgrad,vt.,使移居、移植、使迁移,n.,1244,0.936,57,0.043,移居者、移植,n.,移居者、移植
resolved_multi,torpedo,cet6,n.,鱼雷、水雷、地雷,v.,291,0.933,9,0.029,用鱼雷袭击、破坏,v.,用鱼雷袭击、破坏
resolved_multi,professional,life+cet4+cet6+postgrad,n.,专业人才,adj.,9169,0.930,353,0.036,专业的、职业的,adj.,专业的、职业的
resolved_multi,swallow,cet4+cet6+postgrad,n.,燕子、吞咽、喉,v.,1438,0.930,55,0.036,咽、淹没、吞没,v.,咽、淹没、吞没
resolved_multi,underestimate,cet6+postgrad,n.,低估,v.,824,0.930,41,0.046,低估、看轻,v.,低估、看轻
resolved_multi,captive,cet4+cet6+postgrad,n.,俘虏、迷恋者,adj.,464,0.928,17,0.034,被俘的、被迷住的,adj.,被俘的、被迷住的
resolved_multi,tentative,cet6+postgrad,n.,试验,adj.,297,0.928,22,0.069,试验性的、暂时的,adj.,试验性的、暂时的
resolved_multi,kill,life+cet4+postgrad,n.,杀、杀戮、小河,v.,15290,0.926,1216,0.074,杀、破坏、消灭,v.,杀死、消磨
resolved_multi,sway,cet4+cet6+postgrad,n.,摇摆、影响力、支配,v.,681,0.925,27,0.037,摇动、支配、弄歪,v.,摇动、支配、弄歪
resolved_multi,need,life,n.,需要、必须、缺乏,v.,218261,0.923,16542,0.070,需要、必需,v.,需要、必需
resolved_multi,Japanese,life,n.,日本人、日语,adj.,5313,0.920,69,0.012,日本的、日语的,adj.,日本的、日语的
resolved_multi,sniff,cet6+postgrad,n.,以鼻吸气、嗅、气息,v.,1381,0.918,97,0.064,嗅、蔑视、嗤之以鼻,v.,嗅、蔑视、嗤之以鼻
resolved_multi,initiate,cet6+postgrad,n.,入会、开始,v.,220,0.913,20,0.083,开始、传授基本知识给,v.,开始、传授基本知识给
resolved_multi,pick,life,n.,精选、选择、掘,v.,26786,0.913,2564,0.087,摘、掘、凿,v.,挑选、采摘
resolved_multi,blackmail,postgrad,n.,勒索,v.,466,0.905,40,0.078,勒索,v.,勒索
resolved_multi,classic,cet4+cet6+postgrad,n.,古典作品、杰作、大艺术家,adj.,8965,0.905,768,0.078,第一流的、最优秀的、古典的,adj.,第一流的、最优秀的、古典的
resolved_multi,forfeit,postgrad,n.,没收物、罚金、丧失,v.,423,0.904,32,0.068,没收、丧失,v.,没收、丧失
resolved_multi,sweet,life,n.,甜蜜、糖果、情人,adj.,17305,0.902,687,0.036,甜的、芳香的、悦耳的,adj.,甜的、芳香的、悦耳的
resolved_multi,wear,life,n.,穿着、戴、使用,v.,14212,0.900,1586,0.100,穿着、戴、留(须、发等),v.,穿着、戴、留(须、发等)
resolved_multi,tender,cet4+cet6+postgrad,adj.,嫩的、柔软的、脆弱的,n.,2061,0.897,136,0.059,照料、看管人、供应船,adj.,柔软的、嫩的
resolved_multi,second,life,n.,秒、瞬间、第二名,adj.,73550,0.896,2477,0.030,第二的、其次的、次要的,adj.,第二的、其次的、次要的
resolved_multi,hate,life+cet4+cet6+postgrad,n.,憎恨、恨、厌恶,v.,11771,0.895,1198,0.091,憎恨、憎恶,v.,憎恨、讨厌
resolved_multi,swamp,cet4+cet6+postgrad,n.,沼泽、进退两难的困境,v.,579,0.891,43,0.066,淹没、击溃、清除,v.,淹没、击溃、清除
resolved_multi,Spanish,cet4+cet6,n.,西班牙人、西班牙语,adj.,5631,0.890,0,0.000,西班牙的,adj.,西班牙的
resolved_multi,concentrate,cet4+cet6+postgrad,n.,浓缩、精选,v.,4082,0.885,528,0.114,集中、专心,v.,集中、专心
resolved_multi,extreme,cet4+cet6+postgrad,n.,极端、末端,adj.,4697,0.883,478,0.090,极端的、尽头的、极度的,adj.,极端的、尽头的、极度的
resolved_multi,whole,life+cet4+cet6+postgrad,n.,全部、全体、整体,adj.,62244,0.881,8309,0.118,所有的、完整的、完全的,adj.,所有的、完整的、完全的
resolved_multi,insert,cet4+cet6+postgrad,n.,插入物,v.,362,0.879,47,0.114,插入、把(人造卫星)射入(轨道)、添写,v.,插入、把(人造卫星)射入(轨道)、添写
resolved_multi,wireless,cet4+cet6,n.,无线电,adj.,543,0.879,10,0.016,无线的、无线电的,adj.,无线的、无线电的
resolved_multi,elastic,cet4+cet6+postgrad,n.,松紧带、橡皮筋,adj.,474,0.878,37,0.069,有弹性的、能伸缩的、可通融的,adj.,有弹性的、能伸缩的、可通融的
resolved_multi,dark,life,n.,黑暗、夜、黄昏,adj.,15247,0.877,2140,0.123,黑暗的、暗的、深色的,adj.,黑暗的、暗的、深色的
resolved_multi,pretty,life+cet4+cet6+postgrad,adj.,漂亮的、优美的、机灵的,adv.,56146,0.877,2520,0.039,相当、颇,adv.,相当、颇
resolved_multi,spoil,cet4+cet6+postgrad,n.,战利品、赃物、奖品,v.,1375,0.876,160,0.102,损坏、破坏、溺爱,v.,损坏、破坏、溺爱
resolved_multi,military,life+cet4+cet6+postgrad,n.,军队,adj.,11597,0.875,1210,0.091,军事的、军人的、适于战争的,adj.,军事的、军人的、适于战争的
resolved_multi,worry,life,n.,担心、烦恼、忧虑,v.,24483,0.875,3387,0.121,使烦恼、使焦虑、使苦恼,v.,使烦恼、使焦虑、使苦恼
resolved_multi,native,life+cet4+cet6+postgrad,n.,本地人、土产、当地人,adj.,2755,0.874,294,0.093,本国的、与生俱来的、自然的,adj.,本国的、与生俱来的、自然的
resolved_multi,reach,life+cet4+cet6+postgrad,n.,伸出、延伸、区域,v.,11429,0.874,1599,0.122,到达、达到、伸出,v.,到达、伸手、达到
resolved_multi,hold,life,n.,把握、把持力、柄,v.,36926,0.869,5575,0.131,保存、握住、拿住,v.,拿着、保持、举行
resolved_multi,Chinese,life,n.,中文、中国话、中国人,adj.,8539,0.864,4,0.000,中国的、中国话的,adj.,中国的、中国话的
resolved_multi,French,life,n.,法国人、法文、法式,adj.,18849,0.862,7,0.000,法国的、法国人的、法语的,adj.,法国的、法国人的、法语的
resolved_multi,cold,life+cet4+postgrad,n.,感冒、寒冷,adj.,22156,0.857,1711,0.066,寒冷的、冷淡的、冷静的,adj.,寒冷的、冷淡的、冷静的
resolved_multi,fake,cet6+postgrad,n.,假货、欺骗、诡计,adj.,5588,0.857,597,0.092,假的,adj.,假的
resolved_multi,plague,cet6+postgrad,n.,瘟疫、天罚、麻烦,v.,935,0.855,30,0.027,折磨、使苦恼、使得灾祸,v.,折磨、使苦恼、使得灾祸
resolved_multi,criminal,life+cet4+cet6+postgrad,n.,罪犯、犯人、刑事,adj.,6100,0.851,435,0.061,犯了罪的、刑事的、有罪的,adj.,犯了罪的、刑事的、有罪的
resolved_multi,catch,life,n.,捕捉、陷阱、捕捉之物,v.,18941,0.849,3236,0.145,捕捉、赶上、感染,v.,抓住、赶上、接住
resolved_multi,fair,life+cet4+cet6+postgrad,n.,展览会、市集、美好的事物,adj.,24394,0.847,842,0.029,公平的、按规则进行的、不好不坏的,adj.,公平的、按规则进行的、不好不坏的
resolved_multi,American,life,n.,美国人,adj.,18642,0.846,0,0.000,美国的、美洲的,adj.,美国的、美洲的
resolved_multi,stay,life,n.,停留、逗留、制止,v.,41759,0.846,1952,0.040,制止、延缓、坚持,v.,制止、延缓、坚持
resolved_multi,produce,life+cet4+cet6+postgrad,n.,生产品、物产、后代,v.,8561,0.842,1601,0.158,产生、生产、提出,v.,生产、产生、农产品
resolved_multi,serial,postgrad,n.,分期连载作品、连载小说,adj.,798,0.841,150,0.158,连续的、一连串的、连载的,adj.,连续的、一连串的、连载的
resolved_multi,Russian,life,n.,俄国人、俄语,adj.,4780,0.838,0,0.000,俄国的、俄语的,adj.,俄国的、俄语的
resolved_multi,mention,life,n.,提到、言及、陈述,v.,6194,0.836,1196,0.161,提到、提及,v.,提到、提及
resolved_multi,hit,life+cet4+cet6+postgrad,n.,打击、打、冲撞,v.,34279,0.835,6748,0.164,打、打击、碰撞,v.,打、打击、碰撞
resolved_multi,complex,life+cet4+cet6+postgrad,n.,综合体、情结、络合物,adj.,4651,0.833,931,0.167,复杂的、组合的,adj.,复杂的、组合的
resolved_multi,back,life,adj.,后面的,adv.,295087,0.823,11618,0.032,向后地,adv.,回来、向后、背部
resolved_multi,ideal,cet4+cet6+postgrad,n.,理想、典范、观念,adj.,5823,0.823,879,0.124,理想的、完美的、空想的,adj.,理想的、完美的、空想的
resolved_multi,trample,cet6,n.,践踏(声)、蹂躏,v.,100,0.820,19,0.156,践踏、无视,v.,践踏、无视
resolved_multi,recall,life+cet4+cet6+postgrad,n.,回忆、召回、撤消,v.,1965,0.819,433,0.181,回想、回忆、召回,v.,回想、回忆、召回
resolved_multi,retail,cet4+cet6+postgrad,n.,零售,adj.,2529,0.818,260,0.084,零售的,adj.,零售的
resolved_multi,stand,life,n.,站立、站住、停顿,v.,28843,0.813,6646,0.187,站、立、坐落,v.,站、立、坐落
resolved_multi,pay,life,n.,薪资、付款、补偿,v.,41330,0.812,9550,0.188,支付、付清、补偿,v.,支付、工资
resolved_multi,illiterate,cet6+postgrad,n.,文盲,adj.,158,0.810,15,0.077,目不识丁的、没受教育的,adj.,目不识丁的、没受教育的
resolved_multi,blame,life+cet4+cet6+postgrad,n.,过失、责备,v.,7396,0.803,1777,0.193,责备、归咎于,v.,责备、归咎于
resolved_multi,blank,cet4+postgrad,n.,空格、空白,adj.,2102,0.800,369,0.141,空白的、空虚的、完全的,adj.,空白的、空虚的、完全的
resolved_multi,roundabout,cet6+postgrad,adj.,迂回的、委婉的,n.,857,0.799,47,0.044,迂回路线,n.,迂回路线
resolved_multi,fancy,cet4+cet6+postgrad,n.,想象力、幻想、喜好,adj.,8769,0.795,1096,0.099,想象的、精美的、新奇的,adj.,想象的、精美的、新奇的
resolved_multi,startle,cet4+cet6+postgrad,n.,惊愕、惊恐,v.,62,0.795,6,0.077,吃惊、使惊愕,v.,吃惊、使惊愕
resolved_multi,rash,cet6+postgrad,adj.,轻率的、匆忙的、鲁莽的,n.,655,0.794,143,0.173,皮疹,n.,皮疹
resolved_multi,beat,life,n.,心跳(声)、打、敲打声,v.,18787,0.790,4494,0.189,打、拍打、打败,v.,打、拍打、打败
resolved_multi,wish,life,n.,希望、愿望、祝愿,v.,17830,0.790,3429,0.152,愿、想要、希望,v.,愿、想要、希望
resolved_multi,stop,life,n.,停止、车站、逗留,v.,56472,0.788,11273,0.157,停止、被塞住,v.,停止、被塞住
resolved_multi,check,life,n.,检查、支票、阻止物,v.,19779,0.787,5367,0.213,检查、阻止、核对,v.,检查、阻止、核对
resolved_multi,locomotive,cet4+cet6+postgrad,n.,火车头、机车,adj.,338,0.784,80,0.186,运转的、火车头的、移动的,adj.,运转的、火车头的、移动的
resolved_multi,pale,cet4+cet6+postgrad,n.,栅栏、界线、范围,adj.,1189,0.784,131,0.086,苍白的、暗淡的、无力的,adj.,苍白的、暗淡的、无力的
resolved_multi,live,life,adj.,活的、生动的、精力充沛的,v.,50087,0.783,11903,0.186,活、生存、居住,v.,生活、居住、活着
resolved_multi,use,life,n.,使用、习惯、使用价值,v.,57772,0.779,14841,0.200,使用、利用、运用,v.,使用、利用
resolved_multi,official,life+cet4+cet6+postgrad,n.,官员、公务员、职员,adj.,5900,0.778,1529,0.202,公务的、官方的、正式的,adj.,公务的、官方的、正式的
resolved_multi,only,life,adj.,唯一的、仅有的、最佳的,adv.,163644,0.778,46713,0.222,只有、仅仅、只能,adv.,只、仅仅
resolved_multi,fluorescent,cet6,n.,荧光,adj.,155,0.775,21,0.105,荧光的,adj.,荧光的
resolved_multi,yellow,life,n.,黄色,adj.,10843,0.774,1735,0.124,黄色的,adj.,黄色的
resolved_multi,giggle,postgrad,v.,吃吃地笑、咯咯地笑,n.,556,0.772,23,0.032,咯咯笑、傻笑,n.,咯咯笑、傻笑
resolved_multi,fly,life,n.,苍蝇、两翼昆虫、飞行,v.,12408,0.768,3739,0.232,飞、飞翔、飘扬,v.,飞、飞翔、飘扬
resolved_multi,olive,cet6,n.,橄榄、橄榄树、橄榄色,adj.,2980,0.766,137,0.035,黄绿色的、黄褐色的、橄榄色的,adj.,黄绿色的、黄褐色的、橄榄色的
resolved_multi,look,life,n.,一看、神色、样子,v.,260714,0.765,80257,0.235,看、注意、朝着,v.,看、看起来
resolved_multi,feed,life+cet4+cet6+postgrad,n.,饲料、一餐、饲养,v.,7445,0.763,2291,0.235,喂、饲养、放牧,v.,喂、饲养、放牧
resolved_multi,scrape,cet4+cet6+postgrad,n.,刮、擦、挖,v.,618,0.761,189,0.233,刮掉、擦掉、刮出刺耳声,v.,刮掉、擦掉、刮出刺耳声
resolved_multi,comic,postgrad,n.,连环漫画、喜剧演员、滑稽的人,adj.,2304,0.760,131,0.043,滑稽的、有趣的、喜剧的,adj.,滑稽的、有趣的、喜剧的
resolved_multi,individual,life+cet4+cet6+postgrad,n.,人、个人、个体,adj.,7888,0.760,2480,0.239,个别的、个人的、独特的,adj.,个别的、个人的、独特的
